ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile
COF,221.52999877929688,0.1569420154753114,0.26521276873872535,0.5400444504601827,0.05695270626336746,0.11287534717047687,0.29746041546880386,227.22000122070312,0.025041820309997454,0.04319959995013153,-0.013180352586207592,0.8498136876007326,228.16000366210938,3841000.0,3639586.0,False,False,218.58999633789062,0.13301556855800944,35.96491228070175,47.368421052631575,76.31578947368422,55.26315789473685
CSGP,89.45999908447266,0.14398980275770423,0.1639344050749867,0.1781904217689645,0.0451198951969034,0.023791363110230224,-0.007395251693581684,96.83000183105469,0.07611280189213393,0.05074894882617252,-0.006981072359158512,0.7335869183945674,96.2699966430664,1666500.0,2742538.0,False,False,87.3499984741211,0.023952599775469798,30.701754385964914,1.7543859649122806,25.438596491228072,4.385964912280701
DASH,246.85000610351562,0.1436712856364204,0.3705513589861611,0.9740103964759215,0.04482890608177992,0.205530687907298,0.6630691071196495,270.989990234375,0.08908072253879593,0.06441162147918209,-0.0029540004360029955,0.7349300654249761,270.07000732421875,2195400.0,3492550.0,False,False,238.1999969482422,0.24882783720211288,29.82456140350877,73.68421052631578,93.85964912280701,85.08771929824562
DHI,181.8000030517578,0.48503549823953085,0.36500314887613716,-0.003557503055536926,0.3566905408968055,0.20065050774714766,-0.16051468794292345,194.88002014160156,0.06711830735823864,0.09570953577778907,0.009394207144408268,0.8270355101967675,183.6199951171875,3749000.0,4241148.0,True,False,166.22000122070312,0.17522947855403082,97.36842105263158,71.9298245614035,4.385964912280701,67.54385964912281
EA,168.6199951171875,0.14150801800641344,0.23565180647327644,0.1588873059310929,0.042852599970216954,0.08687366037383626,-0.02365778793879425,178.81251525878906,0.057001156361176884,0.04874867428972697,0.0017894840800806871,0.856227475563417,180.89999389648438,2205500.0,2776984.0,False,False,165.52999877929688,0.051561052590224365,28.07017543859649,28.947368421052634,21.929824561403507,13.157894736842104
EBAY,92.66000366210938,0.1956582669591871,0.3812532590455753,0.6010358305815349,0.09232288578394066,0.21494403010418184,0.348844582574253,100.45508575439453,0.07759768491307222,0.07705589366999058,0.005333842858692722,1.0509907807736631,101.1500015258789,5656400.0,5872944.0,False,False,87.94999694824219,0.20493779730212375,47.368421052631575,77.19298245614034,81.57894736842105,76.31578947368422
EL,89.19999694824219,0.3275262590049772,0.25804252712889864,-0.018003652452428742,0.21279411873942533,0.10656843554423157,-0.1726853152211263,98.93424987792969,0.09839113291603399,0.07713001669058407,0.005686163855186921,0.8420406558059688,95.47000122070312,3698600.0,4149764.0,False,False,86.87000274658203,0.08258539034971812,83.33333333333334,42.98245614035088,3.508771929824561,38.59649122807017
EME,625.4000244140625,0.2925689440581658,0.6701528638614582,0.7476183889453336,0.18085800773082505,0.469058797162214,0.4723378148756616,640.5700073242188,0.023682006239293216,0.07340907001514851,0.0021427021689295334,0.9155196884179951,642.0800170898438,422300.0,363564.0,False,False,596.1699829101562,0.38325436387548684,76.31578947368422,93.85964912280701,86.8421052631579,92.10526315789474
EXPE,214.9499969482422,0.2421036231218281,0.1727649577875936,0.5820088499292153,0.13475417813293666,0.03155867676574009,0.33281468537557224,216.52000427246094,0.0072510959414313955,0.04694120372148347,-0.008979901976490397,0.8232936587524984,219.10000610351562,1353200.0,1735116.0,True,False,209.00999450683594,0.12276852889786549,63.1578947368421,6.140350877192982,79.82456140350878,50.0
F,11.739999771118164,0.17798551484203817,0.25611431011007024,0.15073917173168816,0.07617751036539122,0.10487238470023974,-0.030522447968896804,11.90999984741211,0.014273726152136278,0.0357751349644143,-0.006079586755142372,0.6971167993811354,11.989999771118164,47540100.0,67488748.0,False,False,11.569999694824219,0.06918495586595787,40.35087719298245,42.10526315789473,21.052631578947366,28.07017543859649
